train_data_end,train_data_start,horizon,sku,year_month,final_perdiction,Channel,forecast_month,NetWeight,H1,H2,H3,H4,H5,CrossPlantStatus,LeadTime,ServiceLevel,MrpPurchaser,PdProductDescription,ServiceLevel_value,Standard_Dev,Variability,last_year_demand
2024-05-01,2020-04-01,5,14427,2024-10,22.24,Export_Re-Export,2024-10,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER CONC 99.8%/SPECIAL CROISSANT 1KG,1.65,93.13364948645932,0.6156375560976951,
2024-05-01,2020-04-01,6,14427,2024-11,22.24,Export_Re-Export,2024-11,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER CONC 99.8%/SPECIAL CROISSANT 1KG,1.65,93.13364948645932,0.6156375560976951,
2024-05-01,2019-01-01,1,14428,2024-06,339.48004404059566,Export_Re-Export,2024-06,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED 82%/LE GRAND TOURAGE 1KG,1.65,2163.3171696879467,0.6240674025778158,500.0
2024-05-01,2019-01-01,2,14428,2024-07,274.6983465312835,Export_Re-Export,2024-07,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED 82%/LE GRAND TOURAGE 1KG,1.65,2163.3171696879467,0.6240674025778158,
2024-05-01,2019-01-01,3,14428,2024-08,441.6769322537779,Export_Re-Export,2024-08,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED 82%/LE GRAND TOURAGE 1KG,1.65,2163.3171696879467,0.6240674025778158,
2024-05-01,2019-01-01,4,14428,2024-09,441.6769322537779,Export_Re-Export,2024-09,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED 82%/LE GRAND TOURAGE 1KG,1.65,2163.3171696879467,0.6240674025778158,2000.0
2024-05-01,2019-01-01,5,14428,2024-10,219.92307692307696,Export_Re-Export,2024-10,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED 82%/LE GRAND TOURAGE 1KG,1.65,2163.3171696879467,0.6240674025778158,750.0
2024-05-01,2019-01-01,6,14428,2024-11,219.92307692307696,Export_Re-Export,2024-11,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED 82%/LE GRAND TOURAGE 1KG,1.65,2163.3171696879467,0.6240674025778158,100.0
2024-05-01,2019-01-01,1,14989,2024-06,1172.0000000000002,Export_Re-Export,2024-06,0.250,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/PETIT NORMAND 250G,1.65,4158.65275580125,0.3323221465217334,6000.0
2024-05-01,2019-01-01,2,14989,2024-07,1171.9999999999727,Export_Re-Export,2024-07,0.250,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/PETIT NORMAND 250G,1.65,4158.65275580125,0.3323221465217334,
2024-05-01,2019-01-01,3,14989,2024-08,1171.9999999995382,Export_Re-Export,2024-08,0.250,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/PETIT NORMAND 250G,1.65,4158.65275580125,0.3323221465217334,
2024-05-01,2019-01-01,4,14989,2024-09,1172.0000000000002,Export_Re-Export,2024-09,0.250,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/PETIT NORMAND 250G,1.65,4158.65275580125,0.3323221465217334,800.0
2024-05-01,2019-01-01,5,14989,2024-10,1172.0000000000002,Export_Re-Export,2024-10,0.250,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/PETIT NORMAND 250G,1.65,4158.65275580125,0.3323221465217334,400.0
2024-05-01,2019-01-01,6,14989,2024-11,1172.0000000000002,Export_Re-Export,2024-11,0.250,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/PETIT NORMAND 250G,1.65,4158.65275580125,0.3323221465217334,400.0
2024-05-01,2020-04-01,1,15001,2024-06,41.00167334482577,Export_Re-Export,2024-06,25.000,Dairy,Butter,Unsalted,Sweet Cream,,AC,143,0.95,ENLIM,BUTTER UNSALTED/CONAPROLE 25KG,1.65,126.9382658355365,0.507022950293723,300.0
2024-05-01,2020-04-01,2,15001,2024-07,41.001673344825775,Export_Re-Export,2024-07,25.000,Dairy,Butter,Unsalted,Sweet Cream,,AC,143,0.95,ENLIM,BUTTER UNSALTED/CONAPROLE 25KG,1.65,126.9382658355365,0.507022950293723,
2024-05-01,2020-04-01,3,15001,2024-08,41.001673344825775,Export_Re-Export,2024-08,25.000,Dairy,Butter,Unsalted,Sweet Cream,,AC,143,0.95,ENLIM,BUTTER UNSALTED/CONAPROLE 25KG,1.65,126.9382658355365,0.507022950293723,
2024-05-01,2020-04-01,4,15001,2024-09,41.001673344825775,Export_Re-Export,2024-09,25.000,Dairy,Butter,Unsalted,Sweet Cream,,AC,143,0.95,ENLIM,BUTTER UNSALTED/CONAPROLE 25KG,1.65,126.9382658355365,0.507022950293723,5.0
2024-05-01,2020-04-01,5,15001,2024-10,48.38,Export_Re-Export,2024-10,25.000,Dairy,Butter,Unsalted,Sweet Cream,,AC,143,0.95,ENLIM,BUTTER UNSALTED/CONAPROLE 25KG,1.65,126.9382658355365,0.507022950293723,
2024-05-01,2020-04-01,6,15001,2024-11,48.38,Export_Re-Export,2024-11,25.000,Dairy,Butter,Unsalted,Sweet Cream,,AC,143,0.95,ENLIM,BUTTER UNSALTED/CONAPROLE 25KG,1.65,126.9382658355365,0.507022950293723,20.0
2024-05-01,2019-08-01,1,50003,2024-06,461.4522446665304,Export_Re-Export,2024-06,0.250,Dairy,Butter,Unsalted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER UNSALTED/GREENFIELDS 250G,1.65,5007.312320663318,0.38336367594761694,60.0
2024-05-01,2019-08-01,2,50003,2024-07,561.4618929856206,Export_Re-Export,2024-07,0.250,Dairy,Butter,Unsalted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER UNSALTED/GREENFIELDS 250G,1.65,5007.312320663318,0.38336367594761694,40.0
2024-05-01,2019-08-01,3,50003,2024-08,553.4796436606995,Export_Re-Export,2024-08,0.250,Dairy,Butter,Unsalted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER UNSALTED/GREENFIELDS 250G,1.65,5007.312320663318,0.38336367594761694,
2024-05-01,2019-08-01,4,50003,2024-09,583.7630402133038,Export_Re-Export,2024-09,0.250,Dairy,Butter,Unsalted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER UNSALTED/GREENFIELDS 250G,1.65,5007.312320663318,0.38336367594761694,480.0
2024-05-01,2019-08-01,5,50003,2024-10,1171.951831558912,Export_Re-Export,2024-10,0.250,Dairy,Butter,Unsalted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER UNSALTED/GREENFIELDS 250G,1.65,5007.312320663318,0.38336367594761694,40.0
2024-05-01,2019-08-01,6,50003,2024-11,1171.951831558912,Export_Re-Export,2024-11,0.250,Dairy,Butter,Unsalted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER UNSALTED/GREENFIELDS 250G,1.65,5007.312320663318,0.38336367594761694,280.0
2024-05-01,2019-01-01,1,50025,2024-06,1106.8769227006835,Export_Re-Export,2024-06,0.250,Dairy,Butter,Salted,Lactic,,AC,113,0.95,ENLIM,BUTTER SALTED/PETIT NORMAND 250G,1.65,1507.620945949832,0.529324115564157,560.0
